TRACKER,DATE,TIME,GS Lat,GS Lon,GS Alt asl,TRACKER Lat,TRACKER Lon,TRACKER Alt asl,FIX,HORZV,VERTV,HEAD,FLAGS,#TOT,>40,>32,>24,RSSI Down,RSSI Up,Horizontal range (ft),Alt AGL (ft),Total range (ft),LoRa Max Range (kft),LoRa Success Rate,BATT,GS_batt_v,Down Sent,Down Rcvd,Found Sent,Up Sent,Up Rccvd,Found rocket ID,Found rocket lat,Found rocket lon,Found rocket altitude,Found rocket fix,Found rocket batt_v,Found RSSI,GS_ASL_offset
T102Sub,2024-06-22,11:25:49.274,32.94608,-106.92175,4546.1,32.95132,-106.92300,4567.2,3,0,0,135,0x03,19,6,8,3,-93,-98,1953.05,21.085,1953.162,138.265,100%,3.576,4.104,3686,226,622,225,201,akron_sus,32.95173,-106.92300,4558.1,3,3.617,-98,0.0
T102Sub,2024-06-22,11:25:50.416,32.94608,-106.92175,4546.1,32.95132,-106.92300,4567.3,3,0,0,65,0x03,20,6,9,3,-94,-98,1953.00,21.229,1953.116,123.226,100%,3.574,4.103,3687,226,622,226,201,akron_sus,32.95173,-106.92300,4558.1,3,3.617,-98,0.0
T102Sub,2024-06-22,11:25:52.309,32.94608,-106.92175,4546.1,32.95132,-106.92300,4567.5,3,0,0,-23,0x03,20,6,9,3,-94,-98,1952.92,21.403,1953.039,123.221,100%,3.576,4.103,3689,226,622,227,201,akron_sus,32.95173,-106.92300,4558.1,3,3.617,-98,0.0
T102Boot,2024-06-22,11:26:25.847,32.94608,-106.92175,4546.1,32.95135,-106.92300,4550.8,3,0,0,153,0x03,27,1,4,10,-93,-96,1961.89,4.704,1961.893,138.891,52%,3.648,4.102,18913,247,630,259,373,akronboo,32.95161,-106.92313,4547.9,3,3.577,-77,0.0
T102Boot,2024-06-22,11:26:28.005,32.94608,-106.92175,4546.1,32.95135,-106.92300,4551.2,3,0,0,10,0x03,27,1,5,11,-91,-98,1961.88,5.032,1961.882,174.852,52%,3.651,4.100,18914,249,632,261,374,akron_sus,32.95174,-106.92303,4556.3,3,3.617,-92,0.0
T102Boot,2024-06-22,11:26:29.085,32.94608,-106.92175,4546.1,32.95135,-106.92300,4551.2,3,0,0,-26,0x03,30,1,5,10,-92,-96,1961.89,5.084,1961.894,155.838,54%,3.651,4.101,18915,250,632,262,375,akron_sus,32.95174,-106.92303,4556.3,3,3.617,-92,0.0
T102Boot,2024-06-22,11:26:29.806,32.94608,-106.92175,4546.1,32.95135,-106.92300,4551.2,3,0,0,-36,0x03,30,1,5,11,-93,-97,1961.90,5.045,1961.906,138.892,56%,3.657,4.103,18916,251,632,263,376,akron_sus,32.95174,-106.92303,4556.3,3,3.617,-92,0.0
T102Boot,2024-06-22,11:26:30.794,32.94608,-106.92175,4546.1,32.95135,-106.92300,4551.2,3,0,0,170,0x03,29,1,5,12,-92,-98,1961.91,5.062,1961.918,155.840,58%,3.657,4.102,18917,252,632,264,377,akron_sus,32.95174,-106.92303,4556.3,3,3.617,-92,0.0
T102Boot,2024-06-22,11:26:31.785,32.94608,-106.92175,4546.1,32.95135,-106.92300,4551.1,3,0,0,171,0x03,29,1,4,11,-91,-97,1961.93,4.996,1961.936,174.857,60%,3.653,4.103,18918,253,632,265,378,akron_sus,32.95174,-106.92303,4556.3,3,3.617,-92,0.0
T102Boot,2024-06-22,11:26:32.834,32.94608,-106.92175,4546.1,32.95135,-106.92300,4551.1,3,0,0,166,0x03,29,1,4,12,-91,-96,1961.94,4.950,1961.948,174.858,62%,3.653,4.100,18919,254,632,266,379,akron_sus,32.95174,-106.92303,4556.3,3,3.617,-92,0.0
T102Boot,2024-06-22,11:26:33.794,32.94608,-106.92175,4546.1,32.95135,-106.92300,4551.1,3,0,0,71,0x03,30,1,5,11,-92,-96,1961.96,4.966,1961.966,155.844,64%,3.653,4.102,18920,255,632,267,380,akron_sus,32.95174,-106.92303,4556.3,3,3.617,-92,0.0
T102Boot,2024-06-22,11:26:35.053,32.94609,-106.92174,4551.1,32.95135,-106.92300,4551.2,3,0,0,70,0x03,28,1,6,11,-92,-96,1960.78,0.079,1960.777,155.750,66%,3.624,4.100,18921,256,33402,268,381,akronboo,32.95161,-106.92313,4553.8,3,3.577,-78,0.0
T102Boot,2024-06-22,11:26:35.865,32.94609,-106.92174,4551.1,32.95135,-106.92300,4551.2,3,0,0,-153,0x03,29,0,7,11,-93,-96,1960.78,0.085,1960.784,138.813,66%,3.624,4.100,18921,257,634,269,381,akronboo,32.95161,-106.92313,4553.8,3,3.577,-78,0.0
T102Boot,2024-06-22,11:26:36.824,32.94609,-106.92174,4551.1,32.95135,-106.92300,4551.2,3,0,0,-178,0x03,28,1,6,10,-92,-96,1960.78,0.083,1960.784,155.751,68%,3.647,4.099,18922,258,634,270,382,akronboo,32.95161,-106.92313,4553.8,3,3.577,-78,0.0
T102Boot,2024-06-22,11:26:37.815,32.94609,-106.92174,4551.1,32.95135,-106.92300,4551.1,3,0,0,69,0x03,30,1,6,9,-92,-97,1960.78,0.046,1960.784,155.751,70%,3.647,4.102,18923,259,634,271,383,akronboo,32.95161,-106.92313,4553.8,3,3.577,-78,0.0
T102Boot,2024-06-22,11:26:38.805,32.94609,-106.92174,4551.1,32.95135,-106.92300,4551.1,3,0,0,-126,0x03,29,1,5,9,-92,-96,1960.79,0.066,1960.790,155.751,72%,3.649,4.100,18924,260,634,272,384,akronboo,32.95161,-106.92313,4553.8,3,3.577,-78,0.0
T102Boot,2024-06-22,11:26:55.786,32.94609,-106.92174,4551.1,32.95135,-106.92300,4550.0,3,0,0,118,0x03,30,0,7,9,-101,-100,1960.69,-1.128,1960.687,55.260,29%,3.650,4.102,18939,277,638,289,399,akronboo,32.95161,-106.92314,4551.2,3,3.577,-78,0.0
T102Boot,2024-06-22,11:26:56.806,32.94609,-106.92174,4551.1,32.95135,-106.92300,4549.9,3,0,0,132,0x03,30,0,8,8,-108,-105,1960.70,-1.184,1960.699,24.684,30%,3.650,4.103,18940,278,638,290,400,akronboo,32.95161,-106.92314,4551.2,3,3.577,-78,0.0
