TRACKER,DATE,TIME,GS Lat,GS Lon,GS Alt asl,TRACKER Lat,TRACKER Lon,TRACKER Alt asl,FIX,HORZV,VERTV,HEAD,FLAGS,#TOT,>40,>32,>24,RSSI Down,RSSI Up,Horizontal range (ft),Alt AGL (ft),Total range (ft),LoRa Max Range (kft),LoRa Success Rate,BATT,GS_batt_v,Down Sent,Down Rcvd,Found Sent,Up Sent,Up Rccvd,Found rocket ID,Found rocket lat,Found rocket lon,Found rocket altitude,Found rocket fix,Found rocket batt_v,Found RSSI,GS_ASL_offset
T102Sub,2024-06-22,11:25:49.274,32.94608,-106.92175,4546.1,32.95132,-106.923,4567.2,3,0.0,0.0,135.0,0x03,18,5,10,4,-91,-96,1953.05,21.085,1953.162,138.265,100%,3.576,4.104,3069,255,655,267,244,akron_sus,32.95173,-106.923,4558.1,3,3.617,-98,0.0
T102Sub,2024-06-22,11:25:50.416,32.94618,-106.92165,4547.1,32.95142,-106.9229,4568.3,3,0.1,0.1,70.0,0x03,17,6,12,2,-95,-91,1958.0,22.229,1958.116,124.226,100%,3.584,4.113,3051,209,632,244,262,akron_sus,32.95183,-106.9229,4559.1,3,3.627,-95,0.1
T102Sub,2024-06-22,11:25:52.309,32.94628,-106.92155,4548.1,32.95152,-106.9228,4569.5,2,0.2,0.2,347.0,0x03,21,10,12,4,-100,-97,1962.92,23.403,1963.039,125.221,100%,3.596,4.123,3368,221,690,232,202,akron_sus,32.95193,-106.9228,4560.1,1,3.637,-97,0.2
T102Sub,2024-06-22,11:26:04.334,32.94638,-106.92145,4549.1,32.95162,-106.9227,4571.9,3,0.3,0.3,298.0,0x03,17,10,7,5,-92,-90,1967.36,25.778,1967.498,177.005,100%,3.601,4.133,3052,283,647,239,270,akronboo,0.0003,0.0003,4542.2,2,3.607,-94,0.3
T102Boot,2024-06-22,11:26:04.994,32.94648,-106.92135,4550.1,32.95172,-106.9226,4554.6,1,0.4,0.4,110.0,0x03,24,8,9,4,-91,-96,1972.27,8.507,1972.274,81.721,100%,3.684,4.143,3975,211,627,283,293,akronboo,0.0004,0.0004,4543.2,3,3.617,-97,0.4
T102Boot,2024-06-22,11:26:25.847,32.94658,-106.92125,4551.1,32.95185,-106.9225,4555.8,2,0.5,0.5,178.0,0x03,19,6,11,4,-94,-98,1986.89,9.704,1986.893,143.891,52%,3.698,4.152,3313,231,662,298,203,akronboo,32.95211,-106.92263,4552.9,2,3.627,-90,0.5
T102Boot,2024-06-22,11:26:28.005,32.94668,-106.92115,4552.1,32.95195,-106.9224,4557.2,2,0.6,0.6,40.0,0x03,20,5,9,5,-94,-97,1991.88,11.032,1991.882,180.852,52%,3.711,4.16,3198,248,627,219,236,akron_sus,32.95234,-106.92243,4562.3,3,3.677,-96,0.6
T102Boot,2024-06-22,11:26:29.085,32.94678,-106.92105,4553.1,32.95205,-106.9223,4558.2,3,0.7,0.7,9.0,0x03,19,7,9,2,-94,-99,1996.89,12.084,1996.894,162.838,54%,3.721,4.171,3309,272,652,263,253,akron_sus,32.95244,-106.92233,4563.3,1,3.687,-100,0.7
T102Boot,2024-06-22,11:26:29.806,32.94688,-106.92095,4554.1,32.95215,-106.9222,4559.2,3,0.8,0.8,4.0,0x03,22,10,10,2,-91,-96,2001.9,13.045,2001.906,146.892,56%,3.737,4.183,3049,210,631,231,210,akron_sus,32.95254,-106.92223,4564.3,3,3.697,-91,0.8
T102Boot,2024-06-22,11:26:30.794,32.94698,-106.92085,4555.1,32.95225,-106.9221,4560.2,1,0.9,0.9,215.0,0x03,24,8,7,4,-98,-90,2006.91,14.062,2006.918,164.84,58%,3.747,4.192,3925,231,664,218,236,akron_sus,32.95264,-106.92213,4565.3,3,3.707,-98,0.9
